Date,Close/Last,Open,High,Low,SP500_Daily_Return,SP500_Return_Lag1,SP500_Return_Lag3,SP500_Daily_Return_Pct,SP500_Cumulative_Return,SP500_Rolling_Vol_5d,SP500_Rolling_Vol_20d,SP500_Return_5d,SP500_Return_20d,SP500_MA_5d,SP500_MA_20d
2016-06-07,2112.13,2110.18,2119.22,2110.18,0.0012894600859958416,0.004897266962979874,0.002824710741046177,0.12894600859958416,-0.004228937815283329,0.04554513587126932,0.1044634828791484,0.0072342820082405,0.025958255006824693,2105.052,2076.9725000000003
2016-06-08,2119.12,2112.71,2120.55,2112.71,0.003309455383901483,0.0012894600859958416,-0.0029117543676315805,0.3309455383901483,-0.0009334779124028358,0.04719119781788122,0.09618802833612071,0.009426817127369258,0.016661949059437076,2109.0099999999998,2078.709
2016-06-09,2115.48,2115.65,2117.64,2107.73,-0.0017176941371889187,0.003309455383901483,0.004897266962979874,-0.17176941371889187,-0.0026495686200543878,0.05222338695533925,0.08866959736415816,0.004854507281760734,0.024713484397857144,2111.054,2081.26
2016-06-10,2096.07,2109.57,2109.57,2089.96,-0.009175222644506098,-0.0017176941371889187,0.0012894600859958416,-0.9175222644506098,-0.011800480882559583,0.08815121376276631,0.09602082280000361,-0.0014577467808091216,0.015483670928390536,2110.442,2082.858
2016-06-13,2079.06,2091.75,2098.12,2078.46,-0.008115186992800894,-0.009175222644506098,0.003309455383901483,-0.8115186992800894,-0.019819904766393504,0.08841463327001226,0.09556381945776349,-0.01438790941542889,0.01585548785552704,2104.372,2084.4805
2016-06-14,2075.32,2076.65,2081.3,2064.1,-0.0017988898829277566,-0.008115186992800894,-0.0017176941371889187,-0.17988898829277566,-0.021583140823156377,0.08169866571346941,0.08978074692713085,-0.017427904532391403,0.004190336097858571,2097.0099999999998,2084.9134999999997
2016-06-15,2071.5,2077.6,2085.65,2069.8,-0.0018406799915194894,-0.0017988898829277566,-0.009175222644506098,-0.18406799915194894,-0.02338409315920853,0.05994183846092871,0.08275091321432998,-0.02247159198157722,0.011864928365922456,2087.486,2086.1279999999997
2016-06-16,2077.99,2066.36,2079.62,2050.37,0.0031329954139511784,-0.0018406799915194894,-0.008115186992800894,0.31329954139511784,-0.020324360001884534,0.08060679387206172,0.08321562407836776,-0.017721746364891322,0.014826897437525188,2079.988,2087.6459999999997
2016-06-17,2071.22,2078.2,2078.2,2062.84,-0.003257956005563112,0.0031329954139511784,-0.0017988898829277566,-0.3257956005563112,-0.02351610013672023,0.06383682613216965,0.08291160061247836,-0.011855520092363458,0.015284014038940308,2075.018,2089.205
2016-06-20,2083.25,2075.58,2100.66,2075.58,0.005808171029634712,-0.003257956005563112,-0.0018406799915194894,0.5808171029634712,-0.01784451463862957,0.06145792840419648,0.08273741184710276,0.0020153338527988396,0.015070749200904343,2075.856,2090.7515
2016-06-21,2088.9,2085.19,2093.66,2083.02,0.0027121084843393373,0.005808171029634712,0.0031329954139511784,0.2712108484339337,-0.015180802413840566,0.05956419404144373,0.08229966702177807,0.0065435691845112665,0.01995078221128499,2078.5719999999997,2092.7945
