rnn,xgb,lgbm,optimized_ensemble,simple_ensemble
-0.5481432,-0.4646425,0.11210024568231668,0.11210024568231661,-0.30022847581972095
-0.9222513,-1.7170403,-0.9167975345225606,-0.9167975345225609,-1.1853630198032152
-5.0566525,-5.668252,-5.107385348646768,-5.107385348646769,-5.277430120894952
-2.7065542,-2.2470753,-1.0482569250273133,-1.0482569250273135,-2.0006288062468975
-2.986244,-2.5358653,-3.0220042304011625,-3.022004230401163,-2.848037754026136
-1.1522893,-0.7623586,-0.5663341532498292,-0.5663341532498293,-0.8269939902871745
0.047080383,-0.10288036,-0.7756819584463157,-0.7756819584463157,-0.2771606448125216
1.1366233,0.67167234,0.7336116439725897,0.7336116439725898,0.8473024171798077
-2.1210818,-3.0925667,-4.512281937121957,-4.512281937121957,-3.2419769110678334
-0.7208172,-0.02209528,0.07280299495690135,0.07280299495690135,-0.22336982544583392
-0.466851,-0.86773443,-1.2445378545295251,-1.2445378545295254,-0.85970776092248
-1.0388361,-1.5586596,-1.7463598971063385,-1.7463598971063388,-1.4479518176613413
0.01858621,-0.19665167,-1.8763990665688297,-1.8763990665688297,-0.6848215051894115
-0.08289583,-0.887952,-0.13079721983209722,-0.13079721983209733,-0.3672150216365373
0.12266219,-0.34488618,-0.07651607695389817,-0.07651607695389821,-0.09958002468999567
1.3500868,1.3159717,2.0770337353712582,2.0770337353712582,1.5810307585718322
3.024533,2.7970333,3.029463469636535,3.0294634696365352,2.950343350454203
1.4640969,1.0261083,-0.43312564835607803,-0.43312564835607786,0.6856932131924238
0.6524742,0.81284505,0.4342968252933403,0.4342968252933404,0.6332053670497861
3.4036744,3.511379,3.680548632785295,3.6805486327852956,3.5318673334666806
2.1544368,0.8012281,1.3592882371661756,1.3592882371661759,1.4383177034297816
0.5394177,0.54568017,-0.22790126727122767,-0.2279012672712276,0.28573217416439217
7.6130285,9.966052,9.796573989590202,9.796573989590204,9.125218190418414
1.7990696,-0.5660792,-1.7581163136615414,-1.7581163136615414,-0.1750419367834614
-3.3982203,-5.2870183,-4.847939666602232,-4.847939666602233,-4.511059501599345
-5.083254,-4.460689,-4.3242866355936735,-4.324286635593674,-4.622743346915013
-1.4037827,-0.7170404,-0.5960339986848856,-0.5960339986848857,-0.9056190478658684
-0.3517617,-2.6284907,-2.638088763023111,-2.6380887630231116,-1.872780342984429
-1.5322945,-3.5995598,-3.2435186571068058,-3.243518657106806,-2.791790904806273
0.036992125,0.23013079,0.38592064073004134,0.3859206407300414,0.21768118835263053
-1.8692192,-1.7130088,-3.1713568423791947,-3.171356842379195,-2.2511949292356515
-1.6876651,-1.6499473,-1.3467213725925515,-1.3467213725925518,-1.5614445877035799
-0.21490361,-0.5389573,-0.7718547615001258,-0.7718547615001259,-0.5085718841218173
1.5164384,0.73595095,1.7644303117943205,1.7644303117943205,1.3389399142646923
2.4933326,3.185284,3.3870669235322977,3.387066923532298,3.0218944824249916
2.1093752,2.2487273,1.4665266769364138,1.466526676936414,1.9415431584661091
1.2052991,0.59276414,-0.7461046354784384,-0.7461046354784383,0.35065288090660124
1.3259422,1.1076111,0.3041804489842536,0.3041804489842538,0.9125778892752687
2.102638,1.5507903,1.6143710309688353,1.6143710309688355,1.755933115695056
1.2416974,0.9944341,0.9202561368405819,0.920256136840582,1.0521292683104673
0.7526917,0.72479856,0.45690422280052156,0.4569042228005217,0.6447981364972686
0.7924065,0.9605958,0.2745782731930447,0.2745782731930448,0.6758601863834603
0.6412392,0.9511507,0.29607951144735895,0.29607951144735906,0.6294898175542913
0.16283175,0.31230295,-0.6493673086031022,-0.6493673086031022,-0.058077536022124766
-0.46591824,-0.9898166,-0.47917072065003263,-0.47917072065003274,-0.6449685232087227
0.06264229,0.13007471,0.22919116917896562,0.22919116917896565,0.1406360566736867
-0.16860266,-0.15200916,-0.4242395613647426,-0.4242395613647426,-0.2482837986302682
-0.24935408,-0.16175745,-0.17669405845578476,-0.17669405845578479,-0.19593519736586665
-3.0361283,-2.50828,-2.402068622409401,-2.4020686224094017,-2.6488256479300056
-3.6372669,-1.387196,-1.8390507106630065,-1.8390507106630067,-2.2878378035177143
-2.3027513,-2.5032635,-1.9679618156967906,-1.967961815696791,-2.2579922767817426
-1.8229338,0.06196032,-0.3847418349046384,-0.3847418349046384,-0.7152384294754556
0.17514056,0.4015236,1.1726808868960028,1.1726808868960028,0.5831150122190676
-0.15616407,0.092458785,-0.512291212285149,-0.512291212285149,-0.19199883090277112
0.37468165,0.50129163,0.6937029216688765,0.6937029216688766,0.5232254019711379
-1.2057561,-0.612539,-0.8878841945335766,-0.8878841945335767,-0.9020597321724063
-4.5029173,-3.4516973,-4.207094327008127,-4.207094327008128,-4.0539029887634515
-3.8734806,-2.964906,-3.334030652160926,-3.3340306521609264,-3.390805729268486
-3.3373883,-3.2349193,-3.0552084857494997,-3.0552084857495,-3.209172024139807
-0.5198155,-0.77631176,0.8572682949723475,0.8572682949723474,-0.14628634145453
1.9124695,1.7670609,2.986215590150835,2.9862155901508354,2.2219153241024023
0.5407576,0.5299075,-1.028481601536348,-1.028481601536348,0.01406117318071439
1.9844025,1.9635922,2.604131012780341,2.6041310127803414,2.184041907265078
1.3567588,1.0612051,0.6087744945385493,0.6087744945385494,1.008912825388989
-0.25573963,-0.35184407,-1.7585418997005056,-1.7585418997005056,-0.7887085337703569
-0.25258,-0.24106589,-0.7411417597846027,-0.7411417597846027,-0.4115958788102148
