date,adj_close,close,high,low,open,volume,daily_returns,profit/loss,percentreturn,MA50,MA200,price_range,price_change,volatility,RSI,EMA12,EMA26,MACD,Signal_Line,RSI_Signal,MACD_Signal,day_of_week,week_of_year,month,is_weekend,BB_middle,BB_std,BB_upper,BB_lower,BB_width,stoch_k,stoch_d,ATR,OBV,vwap,rolling_mean_7,rolling_mean_30,rolling_vol_7,rolling_vol_30,rolling_return_7,rolling_return_30,rolling_max_7,rolling_min_7,close_lag_1,close_lag_3,close_lag_7,close_lag_30,trend_strength,volatility_volume_ratio,MACD_histogram
2024-07-25 00:00:00+00:00,65777.22656,65777.22656,66112.42188,63473.47266,65375.875,38315761670.0,0.613913867,PROFIT,0.000933323,63527.78851679999,60447.2292978,2638.949219999995,401.3515599999955,0.040365796,75.95634629900862,64948.46524117734,63626.53495322509,1321.930287952251,774.7161034515594,Overbought,Buy,3,30,7,0,62331.2181645,4256.333857799322,70843.88588009865,53818.550448901355,17025.335431197294,77.26777383460215,76.5538661919228,2415.8794649999986,1456945451985.0,30694.945633244864,66670.08705428572,61720.708204,1026.2673754834434,3750.537178031069,0.028185798577251786,0.06427649913511013,68480.0625,63329.34375,65372.13281,67585.25,63974.06641,61804.64063,1.0509627861324011,1.0535036820527338e-12,547.2141845006917
2024-07-26 00:00:00+00:00,67912.0625,67912.0625,68207.60156,65743.76563,65771.8125,30488630457.0,3.254053551,PROFIT,0.004791569,63470.8864856,60551.93709075,2463.835930000001,2140.25,0.037460362,78.0881238686249,65404.403280996215,63943.98143817139,1460.4218428248278,911.8572513262134,Overbought,Buy,4,30,7,0,62811.64433650001,4319.591956029703,71450.82824855941,54172.4604244406,17278.36782411881,94.68345053409227,81.93731784937422,2453.126394999999,1487434082442.0,30712.74863763263,66841.78794714286,61957.401042666665,1129.4451032067625,3911.7614125640252,0.01801684057665498,0.11676757125654547,68480.0625,63473.47266,65777.22656,65927.67188,66710.15625,60811.27734,1.0482057145500618,1.2286666025498476e-12,548.5645914986144
2024-07-27 00:00:00+00:00,67813.33594,67813.33594,69398.50781,66705.21875,67911.8125,34691905492.0,-0.14500653,LOSS,-0.000213832,63440.30148559999,60660.3051181,2693.2890599999955,-98.47655999999552,0.039658624,75.86345980300375,65775.00830545834,64230.60029015869,1544.4080152996466,1038.3674041209001,Overbought,Buy,5,30,7,1,63409.8556645,4128.855510355217,71667.56668521043,55152.144643789565,16515.42204142087,84.41824733428248,85.45649056765899,2503.3158478571413,1452742176950.0,30733.363717947286,66934.60044714286,62164.35221466667,1185.6003859799698,4054.104884684799,0.009673201428007427,0.10078005417421321,69398.50781,63473.47266,67912.0625,65372.13281,67163.64844,61604.80078,1.0458289216001733,1.1431664948224115e-12,506.04061117874653
2024-07-28 00:00:00+00:00,68255.86719,68255.86719,68301.85156,67085.82813,67808.65625,18043166945.0,0.65951895,PROFIT,0.000966245,63419.3033606,60768.44556735,1216.023430000001,447.2109400000045,0.017933159,74.12718448210022,66156.67890308014,64528.76820866545,1627.9106944146915,1156.2760621796585,Overbought,Buy,6,30,7,1,63987.39414100001,3945.42068100566,71878.23550301132,56096.55277898869,15781.682724022634,86.85649793183211,88.65273193340231,2439.8691399999984,1470785343895.0,30744.050322825373,66949.0781257143,62428.876563666665,1203.4641752358202,4186.363148952235,0.0014869702682203112,0.1315602202103232,69398.50781,63473.47266,67813.33594,65777.22656,68154.52344,60320.13672,1.0436222741671424,9.939030689382119e-13,471.634632235033
2024-07-29 00:00:00+00:00,66819.91406,66819.91406,69987.53906,66532.59375,68259.05469,40780682628.0,-2.108351239,LOSS,-0.003155274,63362.741798,60870.70220795,3454.9453099999955,-1439.140630000009,0.050615194,57.598408520164135,66258.71508106781,64698.48271617172,1560.2323648960955,1237.067322722946,Neutral,Buy,0,31,7,0,64427.928516,3728.7207726392417,71885.37006127849,56970.48697072152,14914.88309055697,57.762580133741,76.3457751332852,2389.135044285712,1430004661267.0,30768.115526483405,66839.74442,62626.627735333335,1170.345234981211,4250.66033625986,-0.011324008418996834,0.09743456289634511,69987.53906,63473.47266,68255.86719,67912.0625,67585.25,60887.37891,1.0409398856864924,1.2411561243765848e-12,323.16504217314946
2024-07-30 00:00:00+00:00,66201.01563,66201.01563,66987.67188,65323.19141,66819.05469,31380492109.0,-0.924944337,LOSS,-0.001397175,63296.5164856,60987.441446250006,1664.480469999995,-618.0390600000101,0.024910267,54.174367716607996,66249.83824244198,64809.78145052937,1440.0567919126115,1277.6652165608793,Neutral,Buy,1,31,7,0,64850.854493,3395.3165650155383,71641.48762303108,58060.22136296892,13581.266260062155,43.831585841167346,62.8168879689135,2303.2857142857115,1398624169158.0,30785.807981568065,66878.79352714286,62744.051823999995,1138.9814260873297,4300.502025868289,0.004146115617392532,0.05620323230063229,69987.53906,63473.47266,66819.91406,67813.33594,65927.67188,62678.29297,1.0378614840136398,7.938137781101169e-13,162.39157535173217
2024-07-31 00:00:00+00:00,64619.25,64619.25,66810.21094,64532.04688,66201.27344,31292785994.0,-2.389717532,LOSS,-0.003698151,63242.2608606,61096.3257822,2278.164060000003,-1582.0234400000045,0.034412692,51.80992156980961,65998.97851283553,64795.66800974942,1203.3105030861116,1262.7942738659258,Neutral,Sell,2,31,7,0,65214.57129000001,2902.848126325744,71020.26754265149,59408.875037348516,11611.392505302974,20.3680397545011,40.65406857646982,2310.9654014285693,1367331383164.0,30803.00993467867,66771.23883999999,62802.96080833334,1325.2802529539806,4314.114062222096,-0.011516876957161637,0.02811796091045271,69987.53906,63473.47266,66201.01563,68255.86719,65372.13281,62851.98047,1.0351237991962063,1.0997004870898425e-12,-59.48377077981422
2024-08-01 00:00:00+00:00,65357.5,65357.5,65593.24219,62248.94141,64625.83984,40975554494.0,1.132148005,PROFIT,0.001732239,63184.5871106,61214.13193455,3344.300780000005,731.6601599999995,0.051748663,54.79729162601619,65900.28951086084,64837.285194212425,1063.0043166484102,1222.8362824224228,Neutral,Sell,3,31,8,0,65587.473048,2337.706359758667,70262.88576751733,60912.060328482665,9350.82543903467,40.16953368805784,34.789719761242104,2417.0943071428555,1408306937658.0,30824.908647455897,66711.27790285714,62913.910287333325,1385.8593236851898,4336.267304117498,-0.006381031581152663,0.05366011915865698,69987.53906,62248.94141,64619.25,66819.91406,65777.22656,62029.01563,1.0321895469849478,1.2629155026462789e-12,-159.8319657740126
2024-08-02 00:00:00+00:00,61415.06641,61415.06641,65523.22266,61184.89453,65353.5,43060875727.0,-6.026354509,LOSS,-0.009812502,63077.76047,61308.64742285,4338.328130000002,-3938.4335900000005,0.066382491,33.05597938710227,65210.25518765148,64583.78750649298,626.4676811584941,1103.562562169637,Neutral,Sell,4,31,8,0,65696.628712,2059.772522056138,69816.17375611229,61577.08366788773,8239.090088224555,2.6148037582974144,21.050792400285456,2433.167967857142,1365246061931.0,30846.732777156198,65783.13560428572,62955.281771666676,2313.0597352794375,4315.09323172071,-0.0956677775763326,0.0206259537557667,69987.53906,61184.89453,65357.5,66201.01563,67912.0625,60173.92188,1.0288558485876929,1.541596399963062e-12,-477.0948810111429
2024-08-03 00:00:00+00:00,60680.09375,60680.09375,62148.37109,59836.52734,61414.80859,31753030589.0,-1.19631545,LOSS,-0.001971512,62971.140470000006,61396.27316505,2311.84375,-734.7148400000005,0.037643099,29.620085058141527,64513.30727416664,64294.62500601202,218.6822681546182,926.5865033666332,Oversold,Sell,5,31,8,1,65691.243751,2073.3772187914597,69837.99818858292,61544.489313417085,8293.508875165833,8.310170781676527,17.031502742677265,2504.648436428571,1333493031342.0,30861.888840542368,64764.101005714285,63078.694792333335,2791.4086708352206,4189.350082346892,-0.10518937154649588,0.06497963969436693,69987.53906,59836.52734,61415.06641,64619.25,67813.33594,56977.70313,1.025650861587581,1.1854962597819075e-12,-707.904235212015
2024-08-04 00:00:00+00:00,58116.97656,58116.97656,61062.98828,57210.80469,60676.09375,31758917219.0,-4.217669644,LOSS,-0.007257208,62809.6600012,61473.14478615,3852.1835900000005,-2559.117189999997,0.063487666,21.286787516404928,63529.256395064076,63837.02141741854,-307.7650223544624,679.716198222414,Oversold,Sell,6,31,8,1,65353.584962,2676.348965881515,70706.28289376303,60000.88703023697,10705.395863526057,7.092359000025182,6.005777846666379,2599.0465949999993,1301734114123.0,30875.977640744837,63315.688058571424,63127.181511,3267.4736943245834,4120.377989625448,-0.14854240444674072,0.025671383523899305,69987.53906,57210.80469,60680.09375,65357.5,68255.86719,56662.375,1.0217414485577305,1.999050079768401e-12,-987.4812205768765
